"id","metin","network_ici","network_disi","genisbant","gb_kopma","gb_altyapi","gb_port","gb_kablo","gb_hizveping","gb_modem","sabithat","sh_kopma","sh_altyapi","mobil","mb_baglanti","mb_hizveveri","mb_kopma","tivibu","tv_cihaz","tv_yayin","siparis_nakil","ekip","bayi","diger"
17237993,"TTNET ev internetimin bina girişinden kablo bağlantıları yerinden çıktığı için 4 gün önce arıza kaydı oluşturdum bugün size uzlaşamadık diye mesajla bildirim yapıldı. Müşteri hizmetlerini arıyorum detaylı bilgi vermiyorlar 4 gündür internet bağlantım yok",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17237543,"06/Ocak/2020 den beri sürekli arızalı olan ve teknik ekiplerin üç defa ziyareti olsa da bir türlü çözülemeyen sorun karşısında çaresizim. Hizmet alamadığım için iptal ettirmeyi düşündüğümü söyleyince 1500TL ücret yansıtacaklarını söylediler. Çalışmayan ve hizmetini alamadığım bu uygulamaya ise taahhüdüm olduğu için 20 ay boyunca 30 TL (600TL) daha ödemek istemediğimi de belirttim. Türk Telekom ve Tivibu yetkililerinden çözüm bekliyorum... Hakkımı farklı platformlarda aramak için artık nasıl bir yol izleyeceğime son ziyaretiniz ve sorunun çözümlenmesine bağlı olduğunu hatırlatmak isterim...",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17232767,"100 lira fatura veriyorum, hala internetim yavaş. Böyle internet olmaz! Oyun bile oynayamıyoruz. Daha ne kadar fazla fatura ödeyelim güzel internetimiz olması için! Artık şuna bir çözüm verin! Her gün evde çıldırmak zorunda mıyım!",True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17228655,"Aylardır kullanıyoruz Türk Telekom ev internetini son 4 aydır gidip gidip geliyor geldiğinde de az sürüyor zaten bağlantı da çok kötü bıktık artık. Sözleşmeyi iptal edeceğiz tazminat ödemek zorunda kalacağız, ama zaten karşı taraf sözleşmeye uymamış oluyor sorunumun çözülmediği takdirde yasal eyleme kalkışmayı planlıyorum.",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17227857,"23.11.2020 tarihinde İstanbul Sancaktepe buluş sokak celestialife sitesi no * burası yaklaşık 200 daireli bir site bulunduğum blokta 50 daire var fakat 20 daire internet kullanabiliyor. Yeni yapılan bloklar ve diğer blokların yarısı internet kullanamıyor. Türk Telekom'dan internet başvurusunda bulunduk fakat 2 aydan fazla bir süredir GPON'da port yok diyerek internet vermiyorlar. Yapacakları tek şey fazladan kart bağlamak 2 aydır bizi port sorunu adı altında oyalıyor.",True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17226283,"Evde sabit internet sağlayıcı firma Türk Telekom kaynaklı mağduriyetim amaçlı yazıyorum. Bilindiği üzere pandemi döneminde üniversiteler ve diğer okullar online eğitime geçmiş bulunmakta ve buna istinaden vize ve final sınavları da online olarak yapılmakta.   Yaklaşık 15 gündür internete bağlanmada ve şans eseri bağlanıldığı takdirde internet hızında ciddi sorun yaşıyoruz. Final sınavlarımın olduğu haftada dahi interneti kullanamadım. Defalarca müşteri hizmetlerini aramama ve sosyal medyadan ulaşmaya çalışmama rağmen kalıcı bir çözüm üretilmedi. Türk Telekom'a internete bağlanamadığımızı belirtiyoruz günlerce bekledikten sonra dönüş olarak ''Bu problemin Türk Telekom kaynaklı olmadığını, modem şirketi ile iletişime geçmem söyleniyor.'' o tarafı arıyorum birkaç talimatla interneti kullanılabilir düzeye getirdikten sonra yine aynı sorun kısır bir döngü içinde başa sarıyor.   Aylık 12 Mbps olarak faturalandırmaya tabii tutulduğumuz interneti yaklaşık maksimum 4096 Mbps olarak alabiliyoruz. Türk Telekom'dan faturalandırılmayı sağladığı internet hızı nezdinde yapmasını talep ettiğimde sorunun Türk Telekom ile alakalı olmadığı, kesinlikle altyapı ile ilgili problem olmadığı söyleniyor.   Ben hakkımı her alanda aramaya çalışıyorum fakat muhatap olarak kalıcı çözümü sağlayan bir kişiye ulaşamıyorum. Ne internete bağlanabiliyoruz ne de şans eseri bağlanabilirsek internetten verim alabiliyoruz. Hala bu çağda böyle ilkel sorunlar ile uğraşabiliyor olmak takdir edersiniz ki garip geliyor ve yine aynı faturalandırmaya tabii tutuluyoruz. Kalıcı bir çözüm için gereğinin yapılmasını bu kadar zaman almamalı.  ",True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17223192,"Türk Telekom sabit internetimde 3 haftadır sorun var ilgileniyoruz diyorlar ama sorunum devam ediyor. Geri dönüş yapacağız diyorlar hiçbir şekilde geri dönüşte olmadı. Sırf sözleşmem var diye herhalde ilgilenmiyorlar. Nasılsa mecburum müşterisi olmaya sanıyorlar.",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17214948,"Şirketimizin ınternet hattının hızı 1,5 Mbps ye düştü. 10 gündür arıza kaydı açtırıyoruz. Ama hiçbir şey yapılmıyor. Bir personel gelip kutuya bakıp arıza giderilmiştir mesajı ile dosya kapatılıyor. Konu ile ilgili acil yardımlarınızı talep etmekteyiz.",True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17209911,"28 Ocak sabah 11'den sonra hatlarda bir sorun oluştu ve arama yapamıyoruz. Çok zor düşüyor defalarca denesek belki düşüyor. Ailemin hepsi Türk Telekom bu nasıl bir sorumsuzluk böyle yıl 2021 oldu. Konum olarak da Alçıtepe köyü Eceabat Çanakkale bir çözüm bulunuz.",True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
17212496,"Türk Telekom internet hızımı artırmak için müşteri hizmetlerine bağlandım bana en yakın Türk Telekom servisinden konuyla alakalı işlem yapabileceğim söylendi. Söylenen miktar bana fazla geldiğinden ve sözleşmem 3 ay sonra sözleşmem biteceğinden dolayı hızı 16 Mbps'den 35 Mbps'ye yükselttiğimde bana 70 ₺'den 120 ₺'Ye yükseleceği söylendi az zaman kaldığı için kabul ettim o arada haberim olmadan benim için 2 yıllık taahhüt yapılmış. Bunu sonradan uygulamadan gördüm.   Müşteri hizmetlerini aradığımda bana yardımcı olamayacağını eğer iptal yaparsam 700₺ üzerinde ceza ödeyeceğim söyledi. Şubeye gittiğimde aldığım cevap müşteri bunu biliyordur,   bunu bizim söylememize gerek yok dendi yani haberim olmadan yapılan taahhüdü devam ettirmek zorunda kaldım.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
